

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ReshNet
optimizer          : adadelta
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : zReshNet_testll1_2

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [10, 8, 10, 14] 
C (# Channels)	: [16, 32, 64, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 38 ;	Train Loss: 0.22716931 ;	Train Accuracy: 91.952 ;	Test Loss: 0.51692683 ; 	Test Accuracy: 84.200 ;
Epoch: 39 ;	Train Loss: 0.22109180 ;	Train Accuracy: 92.190 ;	Test Loss: 0.45211165 ; 	Test Accuracy: 85.750 ;
Epoch: 40 ;	Train Loss: 0.21578750 ;	Train Accuracy: 92.542 ;	Test Loss: 0.49793312 ; 	Test Accuracy: 84.870 ;
Epoch: 41 ;	Train Loss: 0.21070779 ;	Train Accuracy: 92.636 ;	Test Loss: 0.53011323 ; 	Test Accuracy: 84.690 ;
Epoch: 42 ;	Train Loss: 0.20470986 ;	Train Accuracy: 92.796 ;	Test Loss: 0.58373953 ; 	Test Accuracy: 83.470 ;
Epoch: 43 ;	Train Loss: 0.20031182 ;	Train Accuracy: 92.952 ;	Test Loss: 0.53867895 ; 	Test Accuracy: 84.660 ;
Epoch: 44 ;	Train Loss: 0.20018395 ;	Train Accuracy: 92.846 ;	Test Loss: 0.48458284 ; 	Test Accuracy: 85.910 ;
Epoch: 45 ;	Train Loss: 0.19336393 ;	Train Accuracy: 93.184 ;	Test Loss: 0.45474870 ; 	Test Accuracy: 86.580 ;
Epoch: 46 ;	Train Loss: 0.18969836 ;	Train Accuracy: 93.282 ;	Test Loss: 0.52199635 ; 	Test Accuracy: 85.240 ;
Epoch: 47 ;	Train Loss: 0.18511146 ;	Train Accuracy: 93.482 ;	Test Loss: 0.51803999 ; 	Test Accuracy: 85.440 ;
Epoch: 48 ;	Train Loss: 0.18158161 ;	Train Accuracy: 93.514 ;	Test Loss: 0.47742959 ; 	Test Accuracy: 85.770 ;
Epoch: 49 ;	Train Loss: 0.17694775 ;	Train Accuracy: 93.860 ;	Test Loss: 0.53588704 ; 	Test Accuracy: 84.580 ;
Epoch: 50 ;	Train Loss: 0.17333824 ;	Train Accuracy: 93.846 ;	Test Loss: 0.52933618 ; 	Test Accuracy: 84.960 ;


Best Accuracy: 86.690

Saving Error Plot...

Error Plot saved (zReshNet_testll1_2_error_plot.png)

