

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adagrad
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_5

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.07413791 ;	Train Accuracy: 26.248 ;	Test Loss: 1.79132370 ; 	Test Accuracy: 31.080 ;
Epoch: 2 ;	Train Loss: 1.63718815 ;	Train Accuracy: 38.454 ;	Test Loss: 1.75274797 ; 	Test Accuracy: 38.700 ;
Epoch: 3 ;	Train Loss: 1.40377472 ;	Train Accuracy: 48.362 ;	Test Loss: 1.42862844 ; 	Test Accuracy: 46.960 ;
Epoch: 4 ;	Train Loss: 1.24485396 ;	Train Accuracy: 54.672 ;	Test Loss: 1.61774234 ; 	Test Accuracy: 44.790 ;
Epoch: 5 ;	Train Loss: 1.10974027 ;	Train Accuracy: 60.070 ;	Test Loss: 1.30272424 ; 	Test Accuracy: 53.270 ;
Epoch: 6 ;	Train Loss: 0.99531763 ;	Train Accuracy: 64.628 ;	Test Loss: 1.05853621 ; 	Test Accuracy: 61.710 ;
Epoch: 7 ;	Train Loss: 0.89465399 ;	Train Accuracy: 68.452 ;	Test Loss: 0.97804837 ; 	Test Accuracy: 67.120 ;
Epoch: 8 ;	Train Loss: 0.78416999 ;	Train Accuracy: 72.606 ;	Test Loss: 1.38318228 ; 	Test Accuracy: 59.420 ;
Epoch: 9 ;	Train Loss: 0.71580374 ;	Train Accuracy: 74.970 ;	Test Loss: 0.95251864 ; 	Test Accuracy: 68.260 ;
Epoch: 10 ;	Train Loss: 0.66120935 ;	Train Accuracy: 77.086 ;	Test Loss: 0.85015842 ; 	Test Accuracy: 71.270 ;
Epoch: 11 ;	Train Loss: 0.61908368 ;	Train Accuracy: 78.522 ;	Test Loss: 0.70204367 ; 	Test Accuracy: 76.230 ;
