

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ReshNet3
optimizer          : adagrad
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : zReshNet_testll3_3

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [4, 4, 4, 3] 
C (# Channels)	: [32, 64, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.20108372 ;	Train Accuracy: 20.170 ;	Test Loss: 1.83487623 ; 	Test Accuracy: 31.010 ;
Epoch: 2 ;	Train Loss: 1.72357936 ;	Train Accuracy: 35.498 ;	Test Loss: 1.78772783 ; 	Test Accuracy: 35.970 ;
Epoch: 3 ;	Train Loss: 1.47855520 ;	Train Accuracy: 45.460 ;	Test Loss: 1.45500591 ; 	Test Accuracy: 47.270 ;
Epoch: 4 ;	Train Loss: 1.30985466 ;	Train Accuracy: 52.000 ;	Test Loss: 1.30081897 ; 	Test Accuracy: 52.780 ;
Epoch: 5 ;	Train Loss: 1.15445100 ;	Train Accuracy: 58.144 ;	Test Loss: 1.14842280 ; 	Test Accuracy: 59.260 ;
Epoch: 6 ;	Train Loss: 1.04081911 ;	Train Accuracy: 62.636 ;	Test Loss: 1.05237471 ; 	Test Accuracy: 62.980 ;
Epoch: 7 ;	Train Loss: 0.95254079 ;	Train Accuracy: 65.966 ;	Test Loss: 1.05325562 ; 	Test Accuracy: 63.260 ;
Epoch: 8 ;	Train Loss: 0.88445511 ;	Train Accuracy: 68.586 ;	Test Loss: 1.10570019 ; 	Test Accuracy: 63.270 ;
Epoch: 9 ;	Train Loss: 0.82577471 ;	Train Accuracy: 70.910 ;	Test Loss: 0.82658490 ; 	Test Accuracy: 71.280 ;
Epoch: 10 ;	Train Loss: 0.76310499 ;	Train Accuracy: 73.130 ;	Test Loss: 0.93118993 ; 	Test Accuracy: 68.950 ;
Epoch: 11 ;	Train Loss: 0.71621865 ;	Train Accuracy: 74.744 ;	Test Loss: 0.90831570 ; 	Test Accuracy: 70.230 ;
Epoch: 12 ;	Train Loss: 0.67653505 ;	Train Accuracy: 76.386 ;	Test Loss: 0.86262243 ; 	Test Accuracy: 70.420 ;
Epoch: 13 ;	Train Loss: 0.64542381 ;	Train Accuracy: 77.650 ;	Test Loss: 0.75387060 ; 	Test Accuracy: 74.280 ;
Epoch: 14 ;	Train Loss: 0.61292294 ;	Train Accuracy: 78.752 ;	Test Loss: 0.73661131 ; 	Test Accuracy: 74.990 ;
Epoch: 15 ;	Train Loss: 0.59399461 ;	Train Accuracy: 79.420 ;	Test Loss: 0.86829302 ; 	Test Accuracy: 71.790 ;
Epoch: 16 ;	Train Loss: 0.56670150 ;	Train Accuracy: 80.486 ;	Test Loss: 0.75832811 ; 	Test Accuracy: 74.690 ;
Epoch: 17 ;	Train Loss: 0.55663674 ;	Train Accuracy: 80.820 ;	Test Loss: 0.57693079 ; 	Test Accuracy: 80.260 ;
Epoch: 18 ;	Train Loss: 0.53808733 ;	Train Accuracy: 81.276 ;	Test Loss: 0.68721120 ; 	Test Accuracy: 77.230 ;
Epoch: 19 ;	Train Loss: 0.52367221 ;	Train Accuracy: 82.050 ;	Test Loss: 0.80790486 ; 	Test Accuracy: 73.750 ;
Epoch: 20 ;	Train Loss: 0.50663542 ;	Train Accuracy: 82.564 ;	Test Loss: 0.58547452 ; 	Test Accuracy: 80.380 ;
Epoch: 21 ;	Train Loss: 0.49316569 ;	Train Accuracy: 83.090 ;	Test Loss: 0.66218271 ; 	Test Accuracy: 77.650 ;
Epoch: 22 ;	Train Loss: 0.48036728 ;	Train Accuracy: 83.448 ;	Test Loss: 0.59360822 ; 	Test Accuracy: 79.970 ;
Epoch: 23 ;	Train Loss: 0.47063308 ;	Train Accuracy: 83.876 ;	Test Loss: 0.72410314 ; 	Test Accuracy: 77.510 ;
Epoch: 24 ;	Train Loss: 0.46258877 ;	Train Accuracy: 84.188 ;	Test Loss: 0.68290565 ; 	Test Accuracy: 77.750 ;
Epoch: 25 ;	Train Loss: 0.44844582 ;	Train Accuracy: 84.568 ;	Test Loss: 0.66459732 ; 	Test Accuracy: 78.190 ;
Epoch: 26 ;	Train Loss: 0.44295776 ;	Train Accuracy: 85.010 ;	Test Loss: 0.57253677 ; 	Test Accuracy: 80.310 ;
Epoch: 27 ;	Train Loss: 0.43598161 ;	Train Accuracy: 85.082 ;	Test Loss: 0.62920816 ; 	Test Accuracy: 79.530 ;
Epoch: 28 ;	Train Loss: 0.42448791 ;	Train Accuracy: 85.424 ;	Test Loss: 0.52514779 ; 	Test Accuracy: 82.800 ;
Epoch: 29 ;	Train Loss: 0.41832332 ;	Train Accuracy: 85.616 ;	Test Loss: 0.48328938 ; 	Test Accuracy: 83.690 ;
Epoch: 30 ;	Train Loss: 0.41238214 ;	Train Accuracy: 85.820 ;	Test Loss: 0.64596726 ; 	Test Accuracy: 78.600 ;
Epoch: 31 ;	Train Loss: 0.40357916 ;	Train Accuracy: 86.226 ;	Test Loss: 0.70773124 ; 	Test Accuracy: 77.810 ;
Epoch: 32 ;	Train Loss: 0.39580535 ;	Train Accuracy: 86.368 ;	Test Loss: 0.53751938 ; 	Test Accuracy: 82.240 ;
Epoch: 33 ;	Train Loss: 0.39322170 ;	Train Accuracy: 86.580 ;	Test Loss: 0.55431891 ; 	Test Accuracy: 81.860 ;
Epoch: 34 ;	Train Loss: 0.38775019 ;	Train Accuracy: 86.602 ;	Test Loss: 0.70804381 ; 	Test Accuracy: 78.980 ;
Epoch: 35 ;	Train Loss: 0.37747086 ;	Train Accuracy: 86.982 ;	Test Loss: 1.01425177 ; 	Test Accuracy: 71.300 ;
Epoch: 36 ;	Train Loss: 0.37507608 ;	Train Accuracy: 87.054 ;	Test Loss: 0.50277400 ; 	Test Accuracy: 83.050 ;
Epoch: 37 ;	Train Loss: 0.36679865 ;	Train Accuracy: 87.288 ;	Test Loss: 0.50437792 ; 	Test Accuracy: 83.560 ;
Epoch: 38 ;	Train Loss: 0.36523664 ;	Train Accuracy: 87.426 ;	Test Loss: 0.51522724 ; 	Test Accuracy: 83.330 ;
Epoch: 39 ;	Train Loss: 0.35664747 ;	Train Accuracy: 87.786 ;	Test Loss: 0.56393772 ; 	Test Accuracy: 81.930 ;
Epoch: 40 ;	Train Loss: 0.35566913 ;	Train Accuracy: 87.660 ;	Test Loss: 0.49346012 ; 	Test Accuracy: 83.920 ;
Epoch: 41 ;	Train Loss: 0.34905955 ;	Train Accuracy: 87.984 ;	Test Loss: 0.50188812 ; 	Test Accuracy: 83.680 ;
Epoch: 42 ;	Train Loss: 0.34382509 ;	Train Accuracy: 88.034 ;	Test Loss: 0.71106651 ; 	Test Accuracy: 78.170 ;
Epoch: 43 ;	Train Loss: 0.34108638 ;	Train Accuracy: 88.384 ;	Test Loss: 0.48472300 ; 	Test Accuracy: 83.950 ;
Epoch: 44 ;	Train Loss: 0.33390712 ;	Train Accuracy: 88.652 ;	Test Loss: 0.45889266 ; 	Test Accuracy: 84.820 ;
