

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.01
momentum           : 0.9
weight_decay       : 0.0001
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.80113556 ;	Train Accuracy: 33.956 ;	Val Loss: 1.57162813 ; 	Val Accuracy: 41.220 ;
Epoch: 2 ;	Train Loss: 1.48383347 ;	Train Accuracy: 46.024 ;	Val Loss: 1.43199621 ; 	Val Accuracy: 48.060 ;
Epoch: 3 ;	Train Loss: 1.33978211 ;	Train Accuracy: 51.464 ;	Val Loss: 1.41995595 ; 	Val Accuracy: 49.460 ;
Epoch: 4 ;	Train Loss: 1.24366314 ;	Train Accuracy: 55.304 ;	Val Loss: 1.42998011 ; 	Val Accuracy: 49.080 ;
Epoch: 5 ;	Train Loss: 1.16740683 ;	Train Accuracy: 58.176 ;	Val Loss: 1.17989815 ; 	Val Accuracy: 57.100 ;
Epoch: 6 ;	Train Loss: 1.10704304 ;	Train Accuracy: 60.520 ;	Val Loss: 1.15441779 ; 	Val Accuracy: 59.840 ;
Epoch: 7 ;	Train Loss: 1.05099490 ;	Train Accuracy: 62.440 ;	Val Loss: 1.08804168 ; 	Val Accuracy: 60.800 ;
Epoch: 8 ;	Train Loss: 1.00170248 ;	Train Accuracy: 64.591 ;	Val Loss: 1.06485369 ; 	Val Accuracy: 62.080 ;
Epoch: 9 ;	Train Loss: 0.96211186 ;	Train Accuracy: 65.882 ;	Val Loss: 1.14971719 ; 	Val Accuracy: 59.760 ;
Epoch: 10 ;	Train Loss: 0.92325040 ;	Train Accuracy: 67.407 ;	Val Loss: 1.02558305 ; 	Val Accuracy: 63.780 ;
Epoch: 11 ;	Train Loss: 0.89342193 ;	Train Accuracy: 68.551 ;	Val Loss: 0.94107365 ; 	Val Accuracy: 67.700 ;
