

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ReshNet
optimizer          : sgdn
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : zReshNet_testll1_5

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [10, 8, 10, 14] 
C (# Channels)	: [16, 32, 64, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.39060507 ;	Train Accuracy: 15.132 ;	Test Loss: 2.13278596 ; 	Test Accuracy: 19.470 ;
Epoch: 2 ;	Train Loss: 1.97319227 ;	Train Accuracy: 25.004 ;	Test Loss: 1.84276433 ; 	Test Accuracy: 32.500 ;
Epoch: 3 ;	Train Loss: 1.74607550 ;	Train Accuracy: 35.292 ;	Test Loss: 1.60025884 ; 	Test Accuracy: 41.100 ;
Epoch: 4 ;	Train Loss: 1.62274749 ;	Train Accuracy: 39.934 ;	Test Loss: 1.48741297 ; 	Test Accuracy: 44.660 ;
Epoch: 5 ;	Train Loss: 1.48439470 ;	Train Accuracy: 45.532 ;	Test Loss: 1.37235247 ; 	Test Accuracy: 49.860 ;
Epoch: 6 ;	Train Loss: 1.31756740 ;	Train Accuracy: 52.100 ;	Test Loss: 1.22254244 ; 	Test Accuracy: 55.850 ;
Epoch: 7 ;	Train Loss: 1.14813524 ;	Train Accuracy: 58.998 ;	Test Loss: 1.32172148 ; 	Test Accuracy: 55.350 ;
Epoch: 8 ;	Train Loss: 0.99790948 ;	Train Accuracy: 64.596 ;	Test Loss: 1.26185848 ; 	Test Accuracy: 57.470 ;
Epoch: 9 ;	Train Loss: 0.86457217 ;	Train Accuracy: 69.648 ;	Test Loss: 1.33405645 ; 	Test Accuracy: 58.570 ;
Epoch: 10 ;	Train Loss: 0.78475919 ;	Train Accuracy: 72.714 ;	Test Loss: 0.85221527 ; 	Test Accuracy: 70.900 ;
Epoch: 11 ;	Train Loss: 0.72811448 ;	Train Accuracy: 74.948 ;	Test Loss: 1.02187533 ; 	Test Accuracy: 65.610 ;
Epoch: 12 ;	Train Loss: 0.68423577 ;	Train Accuracy: 76.486 ;	Test Loss: 0.78399437 ; 	Test Accuracy: 74.290 ;
Epoch: 13 ;	Train Loss: 0.65279799 ;	Train Accuracy: 77.650 ;	Test Loss: 0.96392658 ; 	Test Accuracy: 68.880 ;
Epoch: 14 ;	Train Loss: 0.62977288 ;	Train Accuracy: 78.216 ;	Test Loss: 0.82599045 ; 	Test Accuracy: 72.730 ;
