

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adagrad
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_6

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 38 ;	Train Loss: 0.24655604 ;	Train Accuracy: 91.584 ;	Test Loss: 0.47724614 ; 	Test Accuracy: 84.880 ;
Epoch: 39 ;	Train Loss: 0.24252345 ;	Train Accuracy: 91.672 ;	Test Loss: 0.46858372 ; 	Test Accuracy: 85.050 ;
Epoch: 40 ;	Train Loss: 0.23511814 ;	Train Accuracy: 92.002 ;	Test Loss: 0.46613968 ; 	Test Accuracy: 84.800 ;
Epoch: 41 ;	Train Loss: 0.23338497 ;	Train Accuracy: 92.058 ;	Test Loss: 0.46534186 ; 	Test Accuracy: 85.160 ;
Epoch: 42 ;	Train Loss: 0.22805931 ;	Train Accuracy: 92.202 ;	Test Loss: 0.47065781 ; 	Test Accuracy: 84.980 ;
Epoch: 43 ;	Train Loss: 0.22572242 ;	Train Accuracy: 92.250 ;	Test Loss: 0.47376643 ; 	Test Accuracy: 85.010 ;
Epoch: 44 ;	Train Loss: 0.22017214 ;	Train Accuracy: 92.458 ;	Test Loss: 0.47709564 ; 	Test Accuracy: 84.850 ;
Epoch: 45 ;	Train Loss: 0.21852229 ;	Train Accuracy: 92.440 ;	Test Loss: 0.47284960 ; 	Test Accuracy: 84.900 ;
Epoch: 46 ;	Train Loss: 0.21341648 ;	Train Accuracy: 92.678 ;	Test Loss: 0.47125015 ; 	Test Accuracy: 84.920 ;
Epoch: 47 ;	Train Loss: 0.20497914 ;	Train Accuracy: 93.014 ;	Test Loss: 0.46804014 ; 	Test Accuracy: 85.330 ;
Epoch: 48 ;	Train Loss: 0.20385625 ;	Train Accuracy: 93.142 ;	Test Loss: 0.46955978 ; 	Test Accuracy: 85.250 ;
Epoch: 49 ;	Train Loss: 0.20155470 ;	Train Accuracy: 93.168 ;	Test Loss: 0.47350509 ; 	Test Accuracy: 85.400 ;
Epoch: 50 ;	Train Loss: 0.19787371 ;	Train Accuracy: 93.164 ;	Test Loss: 0.47243899 ; 	Test Accuracy: 85.460 ;


Best Accuracy: 85.460

Saving Error Plot...

Error Plot saved (ResNet24_1_6_error_plot.png)

