

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_2
train_transform    : TrainTransform_3
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.64814403 ;	Train Accuracy: 39.040 ;	Val Loss: 1.83282713 ; 	Val Accuracy: 38.540 ;
Epoch: 2 ;	Train Loss: 1.30642621 ;	Train Accuracy: 52.731 ;	Val Loss: 1.52895665 ; 	Val Accuracy: 50.620 ;
Epoch: 3 ;	Train Loss: 1.16433164 ;	Train Accuracy: 58.336 ;	Val Loss: 1.28432896 ; 	Val Accuracy: 58.280 ;
Epoch: 4 ;	Train Loss: 1.06781963 ;	Train Accuracy: 61.751 ;	Val Loss: 1.44029989 ; 	Val Accuracy: 55.440 ;
Epoch: 5 ;	Train Loss: 0.99495638 ;	Train Accuracy: 64.491 ;	Val Loss: 0.98268031 ; 	Val Accuracy: 66.500 ;
Epoch: 6 ;	Train Loss: 0.93131562 ;	Train Accuracy: 67.162 ;	Val Loss: 0.93679158 ; 	Val Accuracy: 67.900 ;
Epoch: 7 ;	Train Loss: 0.88184166 ;	Train Accuracy: 68.958 ;	Val Loss: 0.92540978 ; 	Val Accuracy: 67.640 ;
Epoch: 8 ;	Train Loss: 0.83918028 ;	Train Accuracy: 70.447 ;	Val Loss: 1.11815418 ; 	Val Accuracy: 64.320 ;
Epoch: 9 ;	Train Loss: 0.79581083 ;	Train Accuracy: 72.038 ;	Val Loss: 0.89770465 ; 	Val Accuracy: 70.940 ;
Epoch: 10 ;	Train Loss: 0.76378272 ;	Train Accuracy: 73.096 ;	Val Loss: 0.76566816 ; 	Val Accuracy: 74.720 ;
Epoch: 11 ;	Train Loss: 0.73849853 ;	Train Accuracy: 73.960 ;	Val Loss: 0.69504714 ; 	Val Accuracy: 76.460 ;
