

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.01
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 37 ;	Train Loss: 0.44543619 ;	Train Accuracy: 84.678 ;	Val Loss: 0.61442417 ; 	Val Accuracy: 79.100 ;
Epoch: 38 ;	Train Loss: 0.43782161 ;	Train Accuracy: 84.940 ;	Val Loss: 0.57512403 ; 	Val Accuracy: 80.620 ;
Epoch: 39 ;	Train Loss: 0.42819737 ;	Train Accuracy: 85.240 ;	Val Loss: 0.57794892 ; 	Val Accuracy: 80.500 ;
Epoch: 40 ;	Train Loss: 0.42082901 ;	Train Accuracy: 85.540 ;	Val Loss: 0.59964499 ; 	Val Accuracy: 80.700 ;
Epoch: 41 ;	Train Loss: 0.41152632 ;	Train Accuracy: 85.627 ;	Val Loss: 0.60241462 ; 	Val Accuracy: 80.140 ;
Epoch: 42 ;	Train Loss: 0.40439289 ;	Train Accuracy: 86.031 ;	Val Loss: 0.56201630 ; 	Val Accuracy: 81.040 ;
Epoch: 43 ;	Train Loss: 0.39573878 ;	Train Accuracy: 86.360 ;	Val Loss: 0.60315708 ; 	Val Accuracy: 80.380 ;
Epoch: 44 ;	Train Loss: 0.38954303 ;	Train Accuracy: 86.611 ;	Val Loss: 0.57162342 ; 	Val Accuracy: 81.260 ;
Epoch: 45 ;	Train Loss: 0.38516303 ;	Train Accuracy: 86.524 ;	Val Loss: 0.60605431 ; 	Val Accuracy: 80.340 ;
Epoch: 46 ;	Train Loss: 0.37636519 ;	Train Accuracy: 86.967 ;	Val Loss: 0.56006467 ; 	Val Accuracy: 81.980 ;
Epoch: 47 ;	Train Loss: 0.36787963 ;	Train Accuracy: 87.156 ;	Val Loss: 0.54137531 ; 	Val Accuracy: 82.180 ;
Epoch: 48 ;	Train Loss: 0.36013073 ;	Train Accuracy: 87.502 ;	Val Loss: 0.55971634 ; 	Val Accuracy: 82.040 ;
Epoch: 49 ;	Train Loss: 0.35362415 ;	Train Accuracy: 87.858 ;	Val Loss: 0.54774537 ; 	Val Accuracy: 82.300 ;
Epoch: 50 ;	Train Loss: 0.34875798 ;	Train Accuracy: 88.022 ;	Val Loss: 0.52222924 ; 	Val Accuracy: 83.480 ;
Epoch: 51 ;	Train Loss: 0.34185029 ;	Train Accuracy: 88.049 ;	Val Loss: 0.52432866 ; 	Val Accuracy: 82.940 ;
Epoch: 52 ;	Train Loss: 0.33479108 ;	Train Accuracy: 88.409 ;	Val Loss: 0.52709382 ; 	Val Accuracy: 82.600 ;
Epoch: 53 ;	Train Loss: 0.32744481 ;	Train Accuracy: 88.847 ;	Val Loss: 0.50819567 ; 	Val Accuracy: 82.920 ;
Epoch: 54 ;	Train Loss: 0.32128408 ;	Train Accuracy: 88.938 ;	Val Loss: 0.56276142 ; 	Val Accuracy: 81.820 ;
Epoch: 55 ;	Train Loss: 0.31830050 ;	Train Accuracy: 89.011 ;	Val Loss: 0.54339720 ; 	Val Accuracy: 82.320 ;
Epoch: 56 ;	Train Loss: 0.31135061 ;	Train Accuracy: 89.178 ;	Val Loss: 0.57434833 ; 	Val Accuracy: 81.320 ;
Epoch: 57 ;	Train Loss: 0.30193577 ;	Train Accuracy: 89.524 ;	Val Loss: 0.51945723 ; 	Val Accuracy: 83.400 ;
Epoch: 58 ;	Train Loss: 0.30223217 ;	Train Accuracy: 89.562 ;	Val Loss: 0.51956057 ; 	Val Accuracy: 82.940 ;
Epoch: 59 ;	Train Loss: 0.29484962 ;	Train Accuracy: 89.842 ;	Val Loss: 0.53348312 ; 	Val Accuracy: 83.020 ;
Epoch: 60 ;	Train Loss: 0.28907624 ;	Train Accuracy: 89.956 ;	Val Loss: 0.51325732 ; 	Val Accuracy: 83.540 ;

Epochs: 60 ;	Test Loss: 0.50164126 ; 	Test Accuracy: 83.790 ;


Best Accuracy: 83.540

