

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ReshNet
optimizer          : adam
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : zReshNet_testll1_1

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [10, 8, 10, 14] 
C (# Channels)	: [16, 32, 64, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.30891030 ;	Train Accuracy: 17.252 ;	Test Loss: 2.53212108 ; 	Test Accuracy: 12.140 ;
Epoch: 2 ;	Train Loss: 1.93166697 ;	Train Accuracy: 23.654 ;	Test Loss: 2.19708102 ; 	Test Accuracy: 13.840 ;
Epoch: 3 ;	Train Loss: 1.91325802 ;	Train Accuracy: 24.710 ;	Test Loss: 2.88541787 ; 	Test Accuracy: 10.140 ;
Epoch: 4 ;	Train Loss: 1.91061271 ;	Train Accuracy: 24.386 ;	Test Loss: 10.67714639 ; 	Test Accuracy: 10.000 ;
Epoch: 5 ;	Train Loss: 1.90893429 ;	Train Accuracy: 25.580 ;	Test Loss: 10.00115543 ; 	Test Accuracy: 11.080 ;
Epoch: 6 ;	Train Loss: 1.86054065 ;	Train Accuracy: 27.290 ;	Test Loss: 1.92962416 ; 	Test Accuracy: 21.670 ;
Epoch: 7 ;	Train Loss: 1.88888800 ;	Train Accuracy: 26.450 ;	Test Loss: 40.18855419 ; 	Test Accuracy: 10.000 ;
Epoch: 8 ;	Train Loss: 1.85197200 ;	Train Accuracy: 27.190 ;	Test Loss: 30.06398611 ; 	Test Accuracy: 9.990 ;
Epoch: 9 ;	Train Loss: 1.87432848 ;	Train Accuracy: 26.728 ;	Test Loss: 16.10113521 ; 	Test Accuracy: 10.000 ;
Epoch: 10 ;	Train Loss: 1.87874720 ;	Train Accuracy: 26.394 ;	Test Loss: 3.90869032 ; 	Test Accuracy: 12.610 ;
Epoch: 11 ;	Train Loss: 1.86007365 ;	Train Accuracy: 27.374 ;	Test Loss: 159.63193939 ; 	Test Accuracy: 10.000 ;
Epoch: 12 ;	Train Loss: 1.86962267 ;	Train Accuracy: 27.604 ;	Test Loss: 4.73999780 ; 	Test Accuracy: 10.000 ;
