

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adam
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_10

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 38 ;	Train Loss: 0.24519827 ;	Train Accuracy: 91.686 ;	Test Loss: 0.37655864 ; 	Test Accuracy: 88.220 ;
Epoch: 39 ;	Train Loss: 0.24296765 ;	Train Accuracy: 91.718 ;	Test Loss: 0.42575094 ; 	Test Accuracy: 87.080 ;
Epoch: 40 ;	Train Loss: 0.24522578 ;	Train Accuracy: 91.674 ;	Test Loss: 0.36909305 ; 	Test Accuracy: 88.080 ;
Epoch: 41 ;	Train Loss: 0.24406626 ;	Train Accuracy: 91.764 ;	Test Loss: 0.42362827 ; 	Test Accuracy: 86.880 ;
Epoch: 42 ;	Train Loss: 0.24155035 ;	Train Accuracy: 91.734 ;	Test Loss: 0.37153707 ; 	Test Accuracy: 88.000 ;
Epoch: 43 ;	Train Loss: 0.23849056 ;	Train Accuracy: 91.824 ;	Test Loss: 0.37010911 ; 	Test Accuracy: 88.440 ;
Epoch: 44 ;	Train Loss: 0.23911609 ;	Train Accuracy: 91.886 ;	Test Loss: 0.37269559 ; 	Test Accuracy: 87.830 ;
Epoch: 45 ;	Train Loss: 0.23376991 ;	Train Accuracy: 92.016 ;	Test Loss: 0.39486943 ; 	Test Accuracy: 87.790 ;
Epoch: 46 ;	Train Loss: 0.23187274 ;	Train Accuracy: 92.020 ;	Test Loss: 0.38854788 ; 	Test Accuracy: 87.680 ;
Epoch: 47 ;	Train Loss: 0.22814878 ;	Train Accuracy: 92.124 ;	Test Loss: 0.34615248 ; 	Test Accuracy: 88.960 ;
Epoch: 48 ;	Train Loss: 0.23292358 ;	Train Accuracy: 92.178 ;	Test Loss: 0.34626108 ; 	Test Accuracy: 88.620 ;
Epoch: 49 ;	Train Loss: 0.22747194 ;	Train Accuracy: 92.198 ;	Test Loss: 0.32624983 ; 	Test Accuracy: 89.180 ;
Epoch: 50 ;	Train Loss: 0.22846503 ;	Train Accuracy: 92.128 ;	Test Loss: 0.40275592 ; 	Test Accuracy: 87.470 ;


Best Accuracy: 89.180

Saving Error Plot...

Error Plot saved (ResNet24_1_10_error_plot.png)

