

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.2
momentum           : 0.9
weight_decay       : 0.0001
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.39528252 ;	Train Accuracy: 48.689 ;	Val Loss: 1.39792387 ; 	Val Accuracy: 53.160 ;
Epoch: 2 ;	Train Loss: 0.93537219 ;	Train Accuracy: 66.662 ;	Val Loss: 1.54801764 ; 	Val Accuracy: 55.760 ;
Epoch: 3 ;	Train Loss: 0.75259781 ;	Train Accuracy: 73.436 ;	Val Loss: 1.02424236 ; 	Val Accuracy: 67.500 ;
Epoch: 4 ;	Train Loss: 0.63897293 ;	Train Accuracy: 77.764 ;	Val Loss: 0.92252396 ; 	Val Accuracy: 70.100 ;
Epoch: 5 ;	Train Loss: 0.56585726 ;	Train Accuracy: 80.318 ;	Val Loss: 0.93215943 ; 	Val Accuracy: 70.220 ;
Epoch: 6 ;	Train Loss: 0.51131909 ;	Train Accuracy: 82.289 ;	Val Loss: 0.72109098 ; 	Val Accuracy: 76.980 ;
Epoch: 7 ;	Train Loss: 0.46755736 ;	Train Accuracy: 83.633 ;	Val Loss: 0.74869526 ; 	Val Accuracy: 76.160 ;
Epoch: 8 ;	Train Loss: 0.43141465 ;	Train Accuracy: 85.058 ;	Val Loss: 0.61266340 ; 	Val Accuracy: 80.000 ;
Epoch: 9 ;	Train Loss: 0.40023783 ;	Train Accuracy: 86.178 ;	Val Loss: 0.54064471 ; 	Val Accuracy: 82.420 ;
Epoch: 10 ;	Train Loss: 0.37043033 ;	Train Accuracy: 87.124 ;	Val Loss: 0.63570475 ; 	Val Accuracy: 79.980 ;
Epoch: 11 ;	Train Loss: 0.35360174 ;	Train Accuracy: 87.627 ;	Val Loss: 0.76634315 ; 	Val Accuracy: 77.760 ;
Epoch: 12 ;	Train Loss: 0.32528525 ;	Train Accuracy: 88.567 ;	Val Loss: 0.51398652 ; 	Val Accuracy: 83.500 ;
Epoch: 13 ;	Train Loss: 0.31268769 ;	Train Accuracy: 89.027 ;	Val Loss: 1.01865188 ; 	Val Accuracy: 72.420 ;
Epoch: 14 ;	Train Loss: 0.29349106 ;	Train Accuracy: 89.876 ;	Val Loss: 0.49050374 ; 	Val Accuracy: 84.460 ;
Epoch: 15 ;	Train Loss: 0.27461573 ;	Train Accuracy: 90.409 ;	Val Loss: 0.94379550 ; 	Val Accuracy: 75.200 ;
Epoch: 16 ;	Train Loss: 0.26098792 ;	Train Accuracy: 90.889 ;	Val Loss: 0.64711704 ; 	Val Accuracy: 80.500 ;
Epoch: 17 ;	Train Loss: 0.25000278 ;	Train Accuracy: 91.142 ;	Val Loss: 0.51191067 ; 	Val Accuracy: 83.940 ;
Epoch: 18 ;	Train Loss: 0.23689818 ;	Train Accuracy: 91.822 ;	Val Loss: 0.53507331 ; 	Val Accuracy: 83.680 ;
Epoch: 19 ;	Train Loss: 0.22440680 ;	Train Accuracy: 92.229 ;	Val Loss: 0.54369192 ; 	Val Accuracy: 83.820 ;
Epoch: 20 ;	Train Loss: 0.21188251 ;	Train Accuracy: 92.513 ;	Val Loss: 0.60556417 ; 	Val Accuracy: 83.440 ;
