

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.43453863 ;	Train Accuracy: 47.484 ;	Val Loss: 1.53294355 ; 	Val Accuracy: 51.060 ;
Epoch: 2 ;	Train Loss: 0.99279831 ;	Train Accuracy: 64.542 ;	Val Loss: 1.08535899 ; 	Val Accuracy: 62.720 ;
Epoch: 3 ;	Train Loss: 0.80948504 ;	Train Accuracy: 71.424 ;	Val Loss: 1.06113718 ; 	Val Accuracy: 66.120 ;
Epoch: 4 ;	Train Loss: 0.68881315 ;	Train Accuracy: 76.060 ;	Val Loss: 0.71275286 ; 	Val Accuracy: 74.840 ;
Epoch: 5 ;	Train Loss: 0.60765070 ;	Train Accuracy: 78.693 ;	Val Loss: 0.75720554 ; 	Val Accuracy: 74.360 ;
Epoch: 6 ;	Train Loss: 0.55027083 ;	Train Accuracy: 81.004 ;	Val Loss: 0.72545730 ; 	Val Accuracy: 75.680 ;
Epoch: 7 ;	Train Loss: 0.50070373 ;	Train Accuracy: 82.653 ;	Val Loss: 0.58750293 ; 	Val Accuracy: 79.780 ;
Epoch: 8 ;	Train Loss: 0.46695268 ;	Train Accuracy: 83.698 ;	Val Loss: 0.68433885 ; 	Val Accuracy: 78.080 ;
Epoch: 9 ;	Train Loss: 0.43371634 ;	Train Accuracy: 85.031 ;	Val Loss: 0.56743075 ; 	Val Accuracy: 81.060 ;
Epoch: 10 ;	Train Loss: 0.40546876 ;	Train Accuracy: 85.996 ;	Val Loss: 0.60192763 ; 	Val Accuracy: 80.580 ;
Epoch: 11 ;	Train Loss: 0.37964725 ;	Train Accuracy: 86.860 ;	Val Loss: 0.75295258 ; 	Val Accuracy: 77.500 ;
