

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : sgd
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_2

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.67227785 ;	Train Accuracy: 37.758 ;	Test Loss: 1.36327282 ; 	Test Accuracy: 50.350 ;
Epoch: 2 ;	Train Loss: 1.23587815 ;	Train Accuracy: 55.214 ;	Test Loss: 1.11635924 ; 	Test Accuracy: 60.360 ;
Epoch: 3 ;	Train Loss: 1.02468306 ;	Train Accuracy: 63.390 ;	Test Loss: 0.96074921 ; 	Test Accuracy: 65.310 ;
Epoch: 4 ;	Train Loss: 0.89199617 ;	Train Accuracy: 68.268 ;	Test Loss: 0.89847687 ; 	Test Accuracy: 68.580 ;
Epoch: 5 ;	Train Loss: 0.78641479 ;	Train Accuracy: 72.204 ;	Test Loss: 0.84454837 ; 	Test Accuracy: 71.030 ;
Epoch: 6 ;	Train Loss: 0.70066601 ;	Train Accuracy: 75.410 ;	Test Loss: 0.72454602 ; 	Test Accuracy: 75.120 ;
Epoch: 7 ;	Train Loss: 0.62656962 ;	Train Accuracy: 78.054 ;	Test Loss: 0.68256733 ; 	Test Accuracy: 76.610 ;
Epoch: 8 ;	Train Loss: 0.58070790 ;	Train Accuracy: 79.656 ;	Test Loss: 0.65496096 ; 	Test Accuracy: 77.790 ;
Epoch: 9 ;	Train Loss: 0.53251647 ;	Train Accuracy: 81.514 ;	Test Loss: 0.58272570 ; 	Test Accuracy: 80.540 ;
Epoch: 10 ;	Train Loss: 0.49720168 ;	Train Accuracy: 82.684 ;	Test Loss: 0.65215632 ; 	Test Accuracy: 78.200 ;
Epoch: 11 ;	Train Loss: 0.46477984 ;	Train Accuracy: 83.900 ;	Test Loss: 0.55141885 ; 	Test Accuracy: 81.400 ;
Epoch: 12 ;	Train Loss: 0.43790752 ;	Train Accuracy: 84.832 ;	Test Loss: 0.52798126 ; 	Test Accuracy: 82.420 ;
Epoch: 13 ;	Train Loss: 0.40923808 ;	Train Accuracy: 85.822 ;	Test Loss: 0.49710921 ; 	Test Accuracy: 83.500 ;
Epoch: 14 ;	Train Loss: 0.38979879 ;	Train Accuracy: 86.536 ;	Test Loss: 0.45813132 ; 	Test Accuracy: 84.510 ;
