

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0001
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.43611429 ;	Train Accuracy: 47.196 ;	Val Loss: 1.64265990 ; 	Val Accuracy: 48.980 ;
Epoch: 2 ;	Train Loss: 1.00176962 ;	Train Accuracy: 64.109 ;	Val Loss: 1.65074757 ; 	Val Accuracy: 54.000 ;
Epoch: 3 ;	Train Loss: 0.82421679 ;	Train Accuracy: 70.818 ;	Val Loss: 1.22625005 ; 	Val Accuracy: 62.600 ;
Epoch: 4 ;	Train Loss: 0.70000129 ;	Train Accuracy: 75.609 ;	Val Loss: 0.95426984 ; 	Val Accuracy: 68.520 ;
Epoch: 5 ;	Train Loss: 0.61399951 ;	Train Accuracy: 78.429 ;	Val Loss: 0.80344280 ; 	Val Accuracy: 73.160 ;
Epoch: 6 ;	Train Loss: 0.55510925 ;	Train Accuracy: 80.553 ;	Val Loss: 0.83916363 ; 	Val Accuracy: 73.040 ;
Epoch: 7 ;	Train Loss: 0.50541472 ;	Train Accuracy: 82.520 ;	Val Loss: 0.66972406 ; 	Val Accuracy: 77.120 ;
Epoch: 8 ;	Train Loss: 0.46814744 ;	Train Accuracy: 83.544 ;	Val Loss: 0.66915747 ; 	Val Accuracy: 78.660 ;
Epoch: 9 ;	Train Loss: 0.43392551 ;	Train Accuracy: 85.027 ;	Val Loss: 0.65435201 ; 	Val Accuracy: 79.440 ;
Epoch: 10 ;	Train Loss: 0.40652081 ;	Train Accuracy: 85.913 ;	Val Loss: 0.53120672 ; 	Val Accuracy: 82.520 ;
Epoch: 11 ;	Train Loss: 0.38178065 ;	Train Accuracy: 86.853 ;	Val Loss: 0.61910047 ; 	Val Accuracy: 80.920 ;
